"id","a4a","a6a","a2","a0","b1","b5","b7a","d1a1x","g1a","BMj4c","j30_environment_pos","BMj5","n2a","n2e","n2b","n2f","n2i","n2p","BMGa1","BMGa2","BMGa4","BMGb1","BMGb2","BMGc2","BMGc5","BMGc7","BMGc8","BMGc16","BMGc18","BMGc23a","BMGc23b","BMGc23c","BMGc23d","BMGc23e","BMGc23f","BMGc23g","BMGc23h","BMGc23i","BMGc23j","BMGc24","BMGc25","BMGc27","BMGd6","BMGd7","BMGe1","BMGe2","BMGe2u"
"140","Неметаллические Минеральные продукты","Крупный","Центральный Федеральный округ","Производство","Акционерное общество, акции которого обращаются на фондовом рынке","1993","Нет","Производство железобетонных конструкций (Блоков, Плит перекрытия, Свай, Балок)","100","Среднее препятствие","3","Транспорт","14000000","19000000","1000000","1500000","","43000000","Нет","Нет","Нет","Нет","Нет","Каждый квартал","","Да","Нет","Нет","Нет","Нет","Нет","Да","Да","Да","Нет","Нет","Да","Нет","Нет","Модернизация машин и оборудования","Да","","Нет","Нет","170000","25000","Литры"
"142","Розничная торговля","Средний","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1997","Нет","Розничная Продажа Офисной Техники","Не применимо","Не является препятствием","2","Информационные и Коммуникационные Технологии ","130000000","","470000","Не знаю","200000000","","Нет","Нет","Нет","Нет","Нет","Каждый квартал","","Нет","","Да","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","Не знаю","Не знаю",""
"144","Готовые Металлические Изделия","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2000","Нет","Производство деталей из проката цветных металлов и сплавов. Например, Фланцев, хомутов и других изделий промышленного назначения.","0","Не является препятствием","3","Энергетика","21500000","30000000","2600000","1200000","","56000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Да","Нет","Нет","Нет","Да","Да","Да","Да","Да","Да","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Да","","Нет","Нет","270000","2300","Литры"
"145","Готовые Металлические Изделия","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2000","Да","Изготовление Вертикальных Стальных Резервуаров, Горизонтальных, Горизонтальных Подземных Резервуаров С Подогревом.","Не применимо","Незначительное препятствие","5","Энергетика","10200000","38400000","420000","450000","","50000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","","Нет","Не знаю","Нет","Нет","Не знаю","Не знаю",""
"153","Другое Производство","Крупный","Центральный Федеральный округ","Производство","Акционерное общество, акции которого обращаются на фондовом рынке","2002","Да","Производство Станков Для Растачивания, Резки и Обрезки Рельсов","100","Среднее препятствие","6","Транспорт","150000000","700000000","1000000","2000000","","855000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Да","Да","Да","Нет","Модернизация транспортных средств","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","150000","37000","Литры"
"160","Готовые Металлические Изделия","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Производство Алюминиевых Композитных Панелей И Стальных Композитных Панелей","100","Незначительное препятствие","4","Энергетика","65000000","1200000000","18000000","1000000","","1600000000","Нет","Нет","Нет","Нет","Нет","Каждый квартал","Каждый квартал","Нет","","Нет","Нет","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Да","Нет","Модернизация машин и оборудования","Да","","Нет","Нет","200000","20000","Литры"
"176","Розничная торговля","Малый","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Да","Розничная торговля Продуктами питания И Товарами народного потребления, Непродовольственными Товарами","Не применимо","Среднее препятствие","9","Транспорт","11000000","","12000","80000","8000000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Да","Не применимо","Да","Нет","Нет","Нет","Нет","Нет","Нет","Не применимо","Не знаю","Нет","Нехватка финансовых ресурсов","Нет","Нет","2000","0",""
"185","Готовые Металлические Изделия","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Производство мечей","0","Не знаю","6","Не знаю","2000000","3000000","300000","100000","","Не знаю","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","","Нет","Не выгодно","Нет","Нет","Не знаю","Не знаю",""
"188","Розничная торговля","Малый","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1993","Нет","Розничная Продажа Газовых Отопительных Котлов, Сантехнических Систем, Электрических Водогрейных Котлов, Сопутствующего Оборудования: Насосов, Шлангов, Клапанов и т.д.","Не применимо","Не знаю","3","Транспорт","4200000","","66000","900000","19200000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Да","Нет","Модернизация транспортных средств","Нет","Не знаю","Нет","Нет","Не знаю","Не знаю",""
"210","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Оптовая Торговля Кровельными Материалами: Черепица, Металлочерепица, Гибкая Черепица, Профнастил","0","Незначительное препятствие","6","Образование","22000000","","1000000","2000000","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Да","Да","Да","Нет","Модернизация транспортных средств","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","150000","35000","Литры"
"211","Другие Услуги","Крупный","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Розничная Торговля Кухонной Мебелью, Аксессуарами, Текстилем, Посудой","Не применимо","Не является препятствием","4","Транспорт","93000000","","1800000","6500000","Не знаю","","Да","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Да","Нет","Нет","Нет","Нет","Да","Да","Нет","Да","Нет","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Нет","Не знаю","Нет","Нет","Не знаю","Не знаю",""
"214","Розничная торговля","Малый","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2012","Нет","Розничная Продажа Красивых Вещей И Бижутерии В Специализированном Магазине","Не применимо","Не является препятствием","1","Энергетика","3000000","","60000","Не знаю","7000000","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Да","Не применимо","Да","Да","Да","Не знаю","Да","Нет","Да","Не знаю","Не знаю","Да","","Да","Нет","Не знаю","Не знаю",""
"224","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1998","Да","Оптовая Торговля Продуктами Питания, Сигаретами: Напитками, Сухими Продуктами, Специями, Консервами и т.д.","0","Не является препятствием","8","Транспорт","10000000","","420000","1100000","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Да","Нет","Да","Нет","Нет","Нет","Да","Да","Да","Нет","Не знаю","Не знаю","","Нет","Нет","Не знаю","Не знаю",""
"227","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2008","Нет","Подключение пользователей И Обеспечение доступа в Интернет С использованием Кабельных систем передачи данных: Ethernet, Fiber, Dsl","Не применимо","Не знаю","9","Информационные и Коммуникационные Технологии ","5800000","","100000","100000","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Да","Нет","Усовершенствования системы освещения","Нет","Не знаю","Нет","Нет","Не знаю","Не знаю",""
"231","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2007","Нет","Ремонт И Техническое Обслуживание Автомобилей","0","Среднее препятствие","2","Образование","9000000","","1000000","1000000","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Да","Нет","Ничего из вышеперечисленного  ","Да","","Нет","Нет","180000","180000","Литры"
"233","Готовые Металлические Изделия","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1999","Нет","Производство Различных Типов Подъемных Кранов, Талей, Лебедок, Домкратов, Подъемных Механизмов, Съемников, Редукторов.","100","Не знаю","2","Транспорт","18000000","48000000","900000","1500000","","70000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Да","Нет","Да","Нет","Нет","Да","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Нет","Не знаю","Нет","Нет","90000","36000","Литры"
"235","Готовые Металлические Изделия","Средний","Центральный Федеральный округ","Производство","Акционерное общество, акции которого обращаются на фондовом рынке","2002","Нет","Переработка Промышленных Отходов, Утилизация Отходов","0","Не является препятствием","7","Окружающая Среда","11000000","3500000","1200000","900000","","17000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Да","Нет","Да","Нет","Да","Да","Не применимо","Да","Да","Нет","Да","Нет","Меры по борьбе с загрязнением воздуха","Да","","Нет","Нет","120000","250000","Литры"
"236","Другое Производство","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2001","Нет","Производство Строительных Металлоконструкций","100","Не является препятствием","5","Энергетика","74400000","384000000","5400000","3600000","","470000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Да","Нет","Да","Да","Да","Да","Да","Да","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Не знаю","","Нет","Не знаю","Не знаю","Не знаю",""
"237","Другое Производство","Крупный","Центральный Федеральный округ","Производство","Акционерное общество, акции которого обращаются на фондовом рынке","2011","Нет","Производство Коммуникационного оборудования","100","Не является препятствием","6","Информационные и Коммуникационные Технологии ","Не знаю","Не знаю","Не знаю","Не знаю","","Не знаю","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Да","Нет","Да","Нет","Да","Да","Да","Да","Да","Да","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Да","","Нет","Нет","Не знаю","Не знаю",""
"241","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Оптовая Торговля Скобяными Изделиями","0","Незначительное препятствие","1","Транспорт","5000000","","700000","500000","","","Нет","Нет","Не знаю","Нет","Нет","Каждый месяц","","Да","Да","Нет","Нет","Да","Да","Нет","Нет","Да","Нет","Да","Да","Нет","Да","Модернизация транспортных средств","Да","","Нет","Нет","80000","13000","Литры"
"243","Еда","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Производство молочных Продуктов","100","Не является препятствием","8","Транспорт","115000000","190000000","11000000","14000000","","350000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Да","Нет","Да","Нет","Да","Да","Да","Да","Да","Да","Да","Не знаю","Минимизация отходов, вторичная переработка и управление отходами","Да","","Нет","Нет","Не знаю","Не знаю",""
"245","Другое Производство","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2010","Нет","Печать газет, Журналов","Не применимо","Не является препятствием","8","Информационные и Коммуникационные Технологии ","4200000","14500000","72000","0","","19000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Да","Нет","Да","Нет","Нет","Нет","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Не знаю","","Нет","Нет","7200","0",""
"253","Машины и оборудование","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2003","Нет","Производство Резиновых Изделий","0","Среднее препятствие","9","Образование","80000000","40000000","2000000","2000000","","130000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Да","Да","Нет","Да","Да","Да","Нет","Нет","Нет","Да","Управление энергопотреблением","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","300000","37000","Литры"
"258","Готовые Металлические Изделия","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Изготовление Сварных Балок, Несущих Колонн, Ферм и Подрамников, Балок перекрытий, Связей, Ригелей.","100","Не знаю","1","Энергетика","15600000","36000000","840000","660000","","54000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Да","Не знаю","Минимизация отходов, вторичная переработка и управление отходами","Нет","Нехватка финансовых ресурсов","Нет","Нет","90000","17000","Литры"
"262","Готовые Металлические Изделия","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1996","Нет","Производство Фурнитуры, Мебельной Фурнитуры, Роликовых Направляющих, Метакоксов, Различной Дверной Фурнитуры, Петель, Стержней, Полкодержателей, Мебельных Оснований.","100","Не знаю","9","Энергетика","21600000","84000000","1200000","1500000","","110000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Да","Нет","Нет","Нет","Да","Да","Да","Нет","Да","Нет","Да","Нет","Минимизация отходов, вторичная переработка и управление отходами","Да","","Нет","Нет","130000","36000","Литры"
"289","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Оптовая Торговля Электронным И Телекоммуникационным Оборудованием","0","Среднее препятствие","2","Образование","70000000","","1000000","1000000","","","Да","Нет","Да","Нет","Нет","Каждый месяц","","Нет","","Да","Нет","Да","Да","Да","Нет","Нет","Да","Да","Да","Да","Да","Модернизация машин и оборудования","Да","","Нет","Нет","166000","18500","Литры"
"290","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1993","Да","Оптовая Торговля Летней И Зимней Спецодеждой, Униформой Для Сферы услуг И Медицинской Одеждой, Специальными Головными Уборами, Перчатками И Рукавицами, Обувью И Сигнальной Одеждой, Оснащенной Светоотражателями","Не применимо","Не знаю","8","Транспорт","3100000","","24000","700000","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","","Нет","Не знаю","Нет","Нет","Не знаю","18000","Литры"
"309","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","Не знаю","Нет","Оптовая Торговля Оборудованием И Инструментами Для Сельского Хозяйства","0","Незначительное препятствие","1","Окружающая Среда","160000000","","Не знаю","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Не знаю","Нет","Не знаю","Не знаю","Не знаю","Не знаю","Не знаю","Не знаю","Не знаю","Не знаю","Не знаю","Не знаю","","Не знаю","","Не знаю","Не знаю","Не знаю","Не знаю",""
"322","Розничная торговля","Средний","Центральный Федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2007","Нет","Розничная Продажа Продуктов Питания, Напитков, Сигарет","Не применимо","Не является препятствием","6","Не знаю","10000000","","300000","Не знаю","Не знаю","","Нет","Нет","Да","Нет","Нет","Каждый квартал","","Нет","","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Нет","","Да","","Нет","Нет","Не знаю","Не знаю",""
"328","Другие Услуги","Средний","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2011","Нет","Техническое Обслуживание автомобиля","0","Не является препятствием","1","Не знаю","69000000","","630000","200000","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Не знаю","","Нет","Нет","Не знаю","6000","Литры"
"348","Готовые Металлические Изделия","Крупный","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Производство Трубопроводной Арматуры: Плоские Стальные Сварные Фланцы","100","Не знаю","9","Энергетика","74400000","144000000","4600000","2200000","","226000000","Да","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Да","Да","Нет","Да","Нет","Нет","Нет","Да","Да","Да","Да","Нет","Да","Нет","Меры по борьбе с загрязнением воздуха","Да","","Нет","Нет","Не знаю","Не знаю",""
"406","Готовые Металлические Изделия","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2009","Нет","Производство Строительных Металлоконструкций","0","Незначительное препятствие","7","Не знаю","8000000","29000000","600000","500000","","Не знаю","Нет","Нет","Нет","Нет","Нет","Каждый год","Каждый год","Нет","","Да","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","Не знаю","Не знаю",""
"450","Еда","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2008","Да","Производство Диетических и Диабетических продуктов (Чай С Биологически Активными добавками)","0","Незначительное препятствие","1","Энергетика","1100000","2500000","90000","0","","3700000","Нет","Нет","Нет","Нет","Нет","Каждый квартал","","Нет","","Нет","Нет","Нет","Нет","Не знаю","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Не знаю","","Нет","Нет","20000","Не знаю",""
"451","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2012","Нет","Оптовая Торговля Детским Питанием","0","Не является препятствием","7","Образование","7100000","","45000","80000","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Не применимо","Не применимо","Нет","Нет","Не применимо","Не применимо","Не применимо","Нет","Не применимо","Не применимо","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","9000","0",""
"455","Предметы одежды","Средний","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2016","Да","Производство трикотажных изделий: Футболки, Толстовки, Спортивные костюмы, Бомберы","0","Незначительное препятствие","9","Образование","8400000","20000000","84000","120000","","35000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Да","Нет","Да","Да","Да","Нет","Нет","Нет","Да","Нет","Модернизация машин и оборудования","Да","","Нет","Нет","Не знаю","0",""
"456","Готовые Металлические Изделия","Малый","Центральный Федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2009","Нет","Производство Металлических Цистерн, Тазов И Резервуаров","0","Незначительное препятствие","3","Транспорт","2000000","2200000","500000","0","","4700000","Нет","Нет","Нет","Нет","Нет","Каждое полугодие","Каждое полугодие","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Нет","Да","Нет","Нет","Модернизация машин и оборудования","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","90000","Не знаю",""
"459","Другие Услуги","Малый","Центральный Федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2014","Нет","Оптовая Торговля Сливочным маслом, Маргарином, Спредами","0","Не является препятствием","3","Здоровье","Не знаю","","Не знаю","Не знаю","","","Нет","Нет","Да","Нет","Да","Каждый квартал","","Нет","","Да","Нет","Да","Нет","Да","Да","Да","Нет","Нет","Нет","Нет","Нет","Минимизация отходов, вторичная переработка и управление отходами","Да","","Да","Да","20000","Не знаю",""
